product_id	count
B00FAPF5U0	49789
B00E8KLWB4	40945
B00DR0PDNE	35757
B00992CF6W	34968
B006LSZECO	33014
B009UX2YAC	32206
B005ZOBNOI	30041
B00QW8TYWO	27876
B00L9B7IKE	26931
B00AREIAI8	26826
B00DJFIMW6	25601
B0054JZC6E	25548
B00I8Q77Y0	21585
B007J4T2G8	20768
B0063IH60K	19752
B00BAXFECK	18508
B00DUGCLY4	17573
B002MQYOFW	17554
B00CWY76CC	16690
B0086700CM	15942
B00CNQ7HAU	15328
B008XG1X18	15250
B0094BB4TW	15191
B004MC8CA2	14856
B003XF1XOQ	14711
B0089LOG02	14290
B00BD99JMW	13966
B00DPM7TIG	13955
B00D7Z4GQY	13903
B009ZQC7MY	13482
B003O86FMW	12781
B008JGSM6G	12687
B004GJDQT8	12510
B00881VLCE	12435
B007ZGO7EM	12174
B00B2V66VS	12133
B000XUBFE2	11206
B00FATEJYE	10785
B00EMXBDMA	10655
B007SYWFRM	10564
B00JOT3HQ2	10516
B005K17RU0	10471
B007IXWL2C	10428
B007IXWKUK	10419
B00HGJ18C2	9957
B007SGM084	9945
B00FAX6XQC	9909
B00PTB7B34	9779
B0071XO8RA	9130
0345803485	8973
B00HDMMISA	8911
B00BVYNSLC	8870
B00DVKOYBM	8736
B00IG2DOKM	8652
B00IKZX1ZI	8520
B008Y2FRFO	8389
B009ZQ8FQG	8329
B004DLPXAO	8240
B00CSR2J9I	8182
B005GFPZYK	8114
B007SGLZP8	8092
B00785P2QC	8071
B00I6IKSZ0	7993
B006MW3UZW	7938
B0064X7FVE	7908
B009KS4XRO	7907
B00AQ3K8IU	7820
B0063GORYU	7761
B00BLCHZC2	7632
B005IQZB14	7519
B00Y6QF0PE	7509
B00H71PBQ8	7430
B000QRIGLC	7187
B005544TRQ	7111
B0091REZMW	6956
B0064MPXFA	6842
B00A6CCF0K	6842
B00688628M	6805
B00C8S9W0G	6744
B004XJRQUQ	6669
B0089EHWQE	6563
B004FRX0MY	6435
B00JVZ0DQG	6427
B007PT3QOQ	6405
B00DHKKN6Q	6366
B0027MJU00	6318
B0050DIWFC	6272
B00594XOZU	6238
B00H58VGIA	6013
B004SJ3BCI	5995
B00BSBR9N6	5962
B00FEMJF6O	5951
B00FKF0F3C	5914
B003JTHXOK	5892
B00BUCXVPI	5855
B007FG9LIE	5772
B00632HWOG	5750
B00HBQWGXK	5749
B005HSL626	5609
B004LOMB2Q	5597
B00A8ECU24	5514
B00JB3MVCW	5503
B00KMX5V8G	5475
B00IRISI42	5471
B00AIUUXHC	5466
B00PSLQYWE	5437
B009XIXVU6	5428
B00IX9UTLU	5356
B006885LZM	5337
B0051ANPZQ	5307
B002QE3CTY	5288
B008UCJ7KO	5286
B003G4W49C	5252
B00DRPVE3M	5251
B003VANOFY	5195
B00BWBHIUG	5170
B003YL4LYI	5142
034580404X	5117
B00HXYKYIE	5089
B00HY7VU60	5051
B00G6ZTM3Y	5011
B004J4WKUQ	4966
B00127RAJY	4965
B0000AQS0F	4960
B00GTCECVG	4956
B00FVVR2ZO	4944
B00IIUATDM	4938
B00IJJUIMY	4918
B00KA7JIII	4913
B009FZHYKU	4900
B00I2TV3NO	4853
B00KNWYDU8	4840
B00J2VSS0C	4838
031606792X	4757
B00B7Y0206	4735
B00KWVZ750	4734
B0020BUWX2	4730
B008AK8FHM	4698
